Nombre,Institución,Dependencia,Género,Entidad
Magaldi Hermosillo Adolfo Vicente,Universidad Nacional Autónoma de México,Instituto de Matemáticas,Masculino,Querétaro
Maldonado Bonilla Luis David,Universidad Del Mar,Universidad Del Mar,Masculino,Oaxaca
Manzo Merino Joaquin,El Colegio Del Estado de Hidalgo,El Colegio Del Estado de Hidalgo,Femenino,Hidalgo
Manzo Merino Joaquin,Instituto Nacional de Cancerología,División de Investigación Clínica,Masculino,Distrito Federal
Marcial Quino Jaime,Instituto Nacional de Pediatría,Instituto Nacional de Pediatría,Masculino,Distrito Federal
Márquez Ramírez Víctor Hugo,Universidad de Guadalajara,Centro Universitario de la Costa,Masculino,Jalisco
Martín Del Campo Sánchez Abraham,"Centro de Investigación en Matemáticas, A.C.",CIMAT Guanajuato,Masculino,Guanajuato
Martínez Alcalá Claudia Isabel,Universidad Autónoma Del Estado de Hidalgo,Parque Científico y Tecnológico,Femenino,Hidalgo
Martínez Brown Juan Manuel,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Dirección de Tecnología de Alimentos de Origen Animal,Masculino,Sinaloa
Martínez Delgado Gustavo,Instituto Nacional de Medicina Genómica,Instituto Nacional de Medicina Genómica,Masculino,Distrito Federal
Martínez Espinoza Manuel Ignacio,Universidad de Ciencias y Artes de Chiapas,Centro de Estudios Superiores México-Centroamérica,Masculino,Chiapas
Martínez Herrera Melchor,Universidad Autónoma Metropolitana,Unidad Cuajimalpa,Masculino,Distrito Federal
Martínez Miranda Juan Crisóforo,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.","Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",Masculino,Nayarit
Martínez Natarén Daniela Alejandra,Centro de Investigación y de Estudios Avanzados del IPN,Unidad Mérida,Femenino,Yucatán
Martínez Rincon Raul Octavio,"Centro de Investigaciones Biológicas del Noroeste, S.C.",Programa de Acuicultura y Biotecnología Marina,Masculino,Baja California Sur
Martínez Roldán Alfredo De Jesús,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Durango,Masculino,Durango
Mastretta Yanes Alicia,Fideicomiso Fondo para la Biodiversidad,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad,Femenino,Distrito Federal
Matus Ruiz Maximino,"El Colegio de la Frontera Norte, A.C.",Dirección General Académica,Masculino,Baja California
Mauricio Gutierrez Amparo,Benemérita Universidad Autónoma de Puebla,Instituto de Ciencias,Femenino,Puebla
